fetched_at,SETTLEMENTDATE,REGIONID,PRICE,PRICE_STATUS,APCFLAG,MARKETSUSPENDEDFLAG,TOTALDEMAND,SCHEDULEDGENERATION,SEMISCHEDULEDGENERATION,NETINTERCHANGE
2026-08-21T04:49:14.797Z,2026-08-21T14:50:00,QLD1,6.83,,,,4999.1,3474.01778,2747.14222,1304.19
2026-08-21T04:49:14.797Z,2026-08-21T14:50:00,SA1,20.20269,,,,1041.97,245.00124,613.11876,-186.27
2026-08-21T04:49:14.797Z,2026-08-21T14:50:00,TAS1,16.06,,,,978.87,580.65892,298.21108,-100
2026-08-21T04:49:14.797Z,2026-08-21T14:50:00,VIC1,19.17996,,,,5771.32,4398.97734,1936.73266,573.14
2026-08-21T04:54:14.337Z,2026-08-21T14:55:00,NSW1,52.21,,,,7950.14,4440.09675,2098.73325,-1345.27
2026-08-21T04:54:14.337Z,2026-08-21T14:55:00,QLD1,27.88,,,,4878.62,3512.93201,2596.46799,1309.86
2026-08-21T04:54:14.337Z,2026-08-21T14:55:00,SA1,52,,,,969.05,245.005,527.905,-198.02
2026-08-21T04:54:14.337Z,2026-08-21T14:55:00,TAS1,43.4098,,,,972.87,587.99919,303.12081,-81.75
2026-08-21T04:54:14.337Z,2026-08-21T14:55:00,VIC1,48.70903,,,,5684.02,4228.59801,1913.85199,462.08
2026-08-21T04:59:14.372Z,2026-08-21T15:00:00,NSW1,53.84643,,,,7957.39,4431.99888,2024.31112,-1431.5
2026-08-21T04:59:14.372Z,2026-08-21T15:00:00,QLD1,42.9818,,,,4813.54,3573.44804,2490.03196,1330.03
2026-08-21T04:59:14.372Z,2026-08-21T15:00:00,SA1,52,,,,957.48,244.99695,518.55305,-196.07
2026-08-21T04:59:14.372Z,2026-08-21T15:00:00,TAS1,43.72648,,,,983.94,587.8988,307.3312,-88.71
2026-08-21T04:59:14.372Z,2026-08-21T15:00:00,VIC1,49.36758,,,,5671.73,4234.96377,1970.53623,540.86
2026-08-21T05:04:14.346Z,2026-08-21T15:05:00,NSW1,52.3,,,,7849.67,4508.64054,2027.17946,-1256.88
2026-08-21T05:04:14.346Z,2026-08-21T15:05:00,QLD1,42.4082,,,,5043.9,3640.11588,2562.43412,1226.38
2026-08-21T05:04:14.346Z,2026-08-21T15:05:00,SA1,53.11924,,,,974.82,245.00268,525.59732,-205.53
2026-08-21T05:04:14.346Z,2026-08-21T15:05:00,TAS1,45.09,,,,989.51,579.77715,309.73285,-100
2026-08-21T05:04:14.346Z,2026-08-21T15:05:00,VIC1,48.76122,,,,5708.36,4274.66029,1893.12971,462.57
2026-08-21T05:09:14.343Z,2026-08-21T15:10:00,NSW1,52.21,,,,8030.42,4584.36959,1908.53041,-1472.65
2026-08-21T05:09:14.343Z,2026-08-21T15:10:00,QLD1,42.31983,,,,5128.62,3693.56541,2610.35459,1244.46
2026-08-21T05:09:14.343Z,2026-08-21T15:10:00,SA1,48.00365,,,,946.3,244.99657,547.44343,-155.99
